x,u(x)
2.11211211211211e-01,6.67816209274850e-01
2.12212212212212e-01,6.68020245385807e-01
2.13213213213213e-01,6.68212279687450e-01
2.14214214214214e-01,6.68392431718720e-01
2.15215215215215e-01,6.68560819827940e-01
2.16216216216216e-01,6.68717561184674e-01
2.17217217217217e-01,6.68862771791470e-01
2.18218218218218e-01,6.68996566495481e-01
2.19219219219219e-01,6.69119058999972e-01
2.20220220220220e-01,6.69230361875718e-01
2.21221221221221e-01,6.69330586572277e-01
2.22222222222222e-01,6.69419843429162e-01
2.23223223223223e-01,6.69498241686898e-01
2.24224224224224e-01,6.69565889497964e-01
2.25225225225225e-01,6.69622893937632e-01
2.26226226226226e-01,6.69669361014696e-01
2.27227227227227e-01,6.69705395682096e-01
2.28228228228228e-01,6.69731101847430e-01
2.29229229229229e-01,6.69746582383371e-01
2.30230230230230e-01,6.69751939137971e-01
2.31231231231231e-01,6.69747272944868e-01
2.32232232232232e-01,6.69732683633388e-01
2.33233233233233e-01,6.69708270038551e-01
2.34234234234234e-01,6.69674130010972e-01
2.35235235235235e-01,6.69630360426666e-01
2.36236236236236e-01,6.69577057196755e-01
2.37237237237237e-01,6.69514315277080e-01
2.38238238238238e-01,6.69442228677716e-01
2.39239239239239e-01,6.69360890472385e-01
2.40240240240240e-01,6.69270392807795e-01
2.41241241241241e-01,6.69170826912859e-01
2.42242242242242e-01,6.69062283107847e-01
2.43243243243243e-01,6.68944850813432e-01
2.44244244244244e-01,6.68818618559648e-01
2.45245245245245e-01,6.68683673994766e-01
2.46246246246246e-01,6.68540103894070e-01
2.47247247247247e-01,6.68387994168559e-01
2.48248248248248e-01,6.68227429873550e-01
2.49249249249249e-01,6.68058495217204e-01
2.50250250250250e-01,6.67881273568959e-01
2.51251251251251e-01,6.67695847467890e-01
2.52252252252252e-01,6.67502298630976e-01
2.53253253253253e-01,6.67300707961289e-01
2.54254254254254e-01,6.67091155556098e-01
2.55255255255255e-01,6.66873720714899e-01
2.56256256256256e-01,6.66648481947360e-01
2.57257257257257e-01,6.66415516981183e-01
2.58258258258258e-01,6.66174902769900e-01
2.59259259259259e-01,6.65926715500577e-01
2.60260260260260e-01,6.65671030601453e-01
2.61261261261261e-01,6.65407922749495e-01
2.62262262262262e-01,6.65137465877883e-01
2.63263263263263e-01,6.64859733183413e-01
2.64264264264264e-01,6.64574797133841e-01
2.65265265265265e-01,6.64282729475134e-01
2.66266266266266e-01,6.63983601238666e-01
2.67267267267267e-01,6.63677482748333e-01
2.68268268268268e-01,6.63364443627597e-01
2.69269269269269e-01,6.63044552806469e-01
2.70270270270270e-01,6.62717878528408e-01
2.71271271271271e-01,6.62384488357167e-01
2.72272272272272e-01,6.62044449183555e-01
2.73273273273273e-01,6.61697827232145e-01
2.74274274274274e-01,6.61344688067909e-01
2.75275275275275e-01,6.60985096602785e-01
2.76276276276276e-01,6.60619117102185e-01
2.77277277277277e-01,6.60246813191432e-01
2.78278278278278e-01,6.59868247862134e-01
2.79279279279279e-01,6.59483483478501e-01
2.80280280280280e-01,6.59092581783589e-01
2.81281281281281e-01,6.58695603905487e-01
2.82282282282282e-01,6.58292610363447e-01
2.83283283283283e-01,6.57883661073942e-01
2.84284284284284e-01,6.57468815356672e-01
2.85285285285285e-01,6.57048131940511e-01
2.86286286286286e-01,6.56621668969386e-01
2.87287287287287e-01,6.56189484008107e-01
2.88288288288288e-01,6.55751634048135e-01
2.89289289289289e-01,6.55308175513291e-01
2.90290290290290e-01,6.54859164265410e-01
2.91291291291291e-01,6.54404655609940e-01
2.92292292292292e-01,6.53944704301481e-01
2.93293293293293e-01,6.53479364549273e-01
2.94294294294294e-01,6.53008690022631e-01
2.95295295295295e-01,6.52532733856314e-01
2.96296296296296e-01,6.52051548655860e-01
2.97297297297297e-01,6.51565186502849e-01
2.98298298298298e-01,6.51073698960124e-01
2.99299299299299e-01,6.50577137076961e-01
3.00300300300300e-01,6.50075551394179e-01
3.01301301301301e-01,6.49568991949206e-01
3.02302302302302e-01,6.49057508281096e-01
3.03303303303303e-01,6.48541149435487e-01
3.04304304304304e-01,6.48019963969522e-01
3.05305305305305e-01,6.47493999956709e-01
3.06306306306306e-01,6.46963304991740e-01
3.07307307307307e-01,6.46427926195261e-01
3.08308308308308e-01,6.45887910218594e-01
3.09309309309309e-01,6.45343303248407e-01
3.10310310310310e-01,6.44794151011349e-01
3.11311311311311e-01,6.44240498778625e-01
3.12312312312312e-01,6.43682391370537e-01
3.13313313313313e-01,6.43119873160973e-01
3.14314314314314e-01,6.42552988081854e-01
3.15315315315315e-01,6.41981779627534e-01
3.16316316316316e-01,6.41406290859163e-01
3.17317317317317e-01,6.40826564408996e-01
3.18318318318318e-01,6.40242642484667e-01
3.19319319319319e-01,6.39654566873422e-01
3.20320320320320e-01,6.39062378946301e-01
3.21321321321321e-01,6.38466119662284e-01
3.22322322322322e-01,6.37865829572397e-01
3.23323323323323e-01,6.37261548823778e-01
3.24324324324324e-01,6.36653317163691e-01
3.25325325325325e-01,6.36041173943517e-01
3.26326326326326e-01,6.35425158122696e-01
3.27327327327327e-01,6.34805308272626e-01
3.28328328328328e-01,6.34181662580533e-01
3.29329329329329e-01,6.33554258853292e-01
3.30330330330330e-01,6.32923134521223e-01
3.31331331331331e-01,6.32288326641835e-01
3.32332332332332e-01,6.31649871903541e-01
3.33333333333333e-01,6.31007806629335e-01
3.34334334334334e-01,6.30362166780432e-01
3.35335335335335e-01,6.29712987959869e-01
3.36336336336336e-01,6.29060305416075e-01
3.37337337337337e-01,6.28404154046402e-01
3.38338338338338e-01,6.27744568400621e-01
3.39339339339339e-01,6.27081582684386e-01
3.40340340340340e-01,6.26415230762659e-01
3.41341341341341e-01,6.25745546163104e-01
3.42342342342342e-01,6.25072562079449e-01
3.43343343343343e-01,6.24396311374806e-01
3.44344344344344e-01,6.23716826584972e-01
3.45345345345345e-01,6.23034139921683e-01
3.46346346346346e-01,6.22348283275843e-01
3.47347347347347e-01,6.21659288220723e-01
3.48348348348348e-01,6.20967186015118e-01
3.49349349349349e-01,6.20272007606486e-01
3.50350350350350e-01,6.19573783634044e-01
3.51351351351351e-01,6.18872544431841e-01
