Particle,vx,vy,vz
0,-5.78051,-117.338,298.738
1,-134.902,9.29495,-26.4058
0,-8.8558,-116.992,300.639
1,-134.621,12.8536,-26.6887
0,-11.9225,-116.568,302.554
1,-134.251,16.4052,-26.9729
0,-14.9788,-116.068,304.485
1,-133.792,19.9475,-27.2584
0,-18.0227,-115.492,306.429
1,-133.245,23.4783,-27.5452
0,-21.0523,-114.84,308.389
1,-132.61,26.9953,-27.8334
0,-24.0657,-114.112,310.363
1,-131.887,30.4965,-28.1229
0,-27.0611,-113.309,312.353
1,-131.076,33.9795,-28.4137
0,-30.0364,-112.431,314.357
1,-130.179,37.4422,-28.7059
0,-32.99,-111.479,316.376
1,-129.195,40.8824,-28.9995
0,-35.9198,-110.454,318.411
1,-128.126,44.298,-29.2944
0,-38.8241,-109.355,320.461
1,-126.971,47.6868,-29.5908
0,-41.7011,-108.183,322.526
1,-125.732,51.0467,-29.8886
0,-44.5489,-106.94,324.607
1,-124.409,54.3755,-30.1879
0,-47.3657,-105.626,326.704
1,-123.002,57.6713,-30.4886
0,-50.1498,-104.242,328.816
1,-121.514,60.9318,-30.7907
0,-52.8994,-102.788,330.944
1,-119.944,64.1551,-31.0944
0,-55.6128,-101.265,333.088
1,-118.294,67.3391,-31.3995
0,-58.2882,-99.6752,335.248
1,-116.565,70.4817,-31.7062
0,-60.9239,-98.0183,337.424
1,-114.757,73.5811,-32.0143
0,-63.5184,-96.2956,339.617
1,-112.872,76.6353,-32.3241
0,-66.0699,-94.5083,341.825
1,-110.91,79.6423,-32.6353
0,-68.5768,-92.6573,344.05
1,-108.874,82.6002,-32.9482
0,-71.0376,-90.7438,346.292
1,-106.764,85.5071,-33.2626
0,-73.4507,-88.769,348.55
1,-104.581,88.3613,-33.5786
0,-75.8145,-86.734,350.825
1,-102.328,91.1608,-33.8962
0,-78.1275,-84.64,353.117
1,-100.004,93.904,-34.2155
0,-80.3883,-82.4884,355.426
1,-97.6124,96.589,-34.5364
0,-82.5955,-80.2805,357.752
1,-95.1536,99.2142,-34.859
0,-84.7475,-78.0175,360.095
1,-92.6294,101.778,-35.1832
0,-86.8431,-75.701,362.456
