Particle,x,y,z
1,55.1815,-75.6054,-176.807
0,72.1559,-16.4537,1487.32
1,55.2683,-77.113,-177.997
0,73.5237,-16.4485,1497.74
1,55.3175,-78.6208,-179.196
0,74.8898,-16.4758,1508.23
1,55.3291,-80.1279,-180.404
0,76.2534,-16.5356,1518.8
1,55.3031,-81.6334,-181.621
0,77.6138,-16.6277,1529.44
1,55.2396,-83.1363,-182.846
0,78.97,-16.7522,1540.15
1,55.1386,-84.6356,-184.08
0,80.3214,-16.9088,1550.93
1,55.0003,-86.1305,-185.323
0,81.6671,-17.0976,1561.8
1,54.8247,-87.62,-186.575
0,83.0063,-17.3183,1572.73
1,54.6119,-89.1031,-187.835
0,84.3382,-17.5708,1583.74
1,54.3622,-90.579,-189.105
0,85.662,-17.8549,1594.83
1,54.0756,-92.0468,-190.384
0,86.9769,-18.1704,1606
1,53.7525,-93.5054,-191.672
0,88.2821,-18.5171,1617.24
1,53.393,-94.954,-192.969
0,89.5768,-18.8947,1628.56
1,52.9974,-96.3916,-194.276
0,90.8604,-19.303,1639.96
1,52.5659,-97.8175,-195.592
0,92.1319,-19.7417,1651.43
1,52.0989,-99.2306,-196.917
0,93.3906,-20.2105,1662.99
1,51.5966,-100.63,-198.252
0,94.6359,-20.7091,1674.62
1,51.0595,-102.015,-199.596
0,95.8668,-21.2371,1686.34
1,50.4878,-103.385,-200.95
0,97.0828,-21.7943,1698.14
1,49.882,-104.738,-202.314
0,98.283,-22.3801,1710.02
1,49.2424,-106.074,-203.687
0,99.4668,-22.9943,1721.98
1,48.5695,-107.393,-205.07
0,100.633,-23.6364,1734.03
1,47.8637,-108.692,-206.463
0,101.782,-24.3059,1746.15
1,47.1256,-109.972,-207.866
0,102.912,-25.0026,1758.37
1,46.3555,-111.232,-209.279
0,104.023,-25.7257,1770.66
1,45.554,-112.47,-210.702
0,105.114,-26.475,1783.04
1,44.7216,-113.687,-212.135
0,106.185,-27.2499,1795.51
1,43.859,-114.881,-213.578
0,107.234,-28.0499,1808.07
1,42.9665,-116.051,-215.032
0,108.262,-28.8744,1820.71
