Particle,vx,vy,vz
1,-375.284,-1351.44,-129.092
0,1209.29,-400.509,2177.39
1,-408.522,-1340.2,-131.423
0,1197.94,-428.681,2190
1,-441.48,-1328.12,-133.76
0,1185.88,-456.57,2202.71
1,-474.137,-1315.23,-136.103
0,1173.12,-484.158,2215.52
1,-506.472,-1301.51,-138.453
0,1159.67,-511.427,2228.44
1,-538.465,-1286.99,-140.809
0,1145.54,-538.361,2241.47
1,-570.097,-1271.66,-143.172
0,1130.73,-564.942,2254.6
1,-601.346,-1255.55,-145.542
0,1115.26,-591.153,2267.85
1,-632.192,-1238.65,-147.92
0,1099.12,-616.978,2281.2
1,-662.618,-1220.98,-150.304
0,1082.34,-642.4,2294.66
1,-692.602,-1202.55,-152.695
0,1064.93,-667.403,2308.24
1,-722.127,-1183.37,-155.094
0,1046.88,-691.972,2321.92
1,-751.173,-1163.45,-157.5
0,1028.23,-716.089,2335.72
1,-779.722,-1142.81,-159.914
0,1008.96,-739.741,2349.63
1,-807.756,-1121.45,-162.336
0,989.104,-762.912,2363.65
1,-835.257,-1099.39,-164.765
0,968.666,-785.587,2377.78
1,-862.208,-1076.64,-167.202
0,947.66,-807.752,2392.03
1,-888.59,-1053.22,-169.648
0,926.098,-829.392,2406.4
1,-914.388,-1029.14,-172.101
0,903.992,-850.493,2420.88
1,-939.585,-1004.41,-174.563
0,881.358,-871.043,2435.47
1,-964.165,-979.055,-177.033
0,858.209,-891.027,2450.19
1,-988.111,-953.084,-179.512
0,834.558,-910.433,2465.02
1,-1011.41,-926.514,-181.999
0,810.42,-929.249,2479.97
1,-1034.05,-899.362,-184.495
0,785.811,-947.462,2495.04
1,-1056,-871.643,-187
0,760.745,-965.06,2510.23
1,-1077.27,-843.376,-189.514
0,735.237,-982.032,2525.54
1,-1097.83,-814.577,-192.037
0,709.303,-998.367,2540.97
1,-1117.67,-785.264,-194.569
0,682.96,-1014.06,2556.52
1,-1136.78,-755.455,-197.11
0,656.223,-1029.08,2572.2
1,-1155.14,-725.168,-199.662
0,629.108,-1043.45,2588
1,-1172.75,-694.423,-202.222
0,601.634,-1057.13,2603.92
1,-1189.59,-663.237,-204.793
0,573.815,-1070.13,2619.97
1,-1205.66,-631.63,-207.373
0,545.67,-1082.43,2636.15
1,-1220.93,-599.622,-209.963
0,517.217,-1094.04,2652.45
1,-1235.4,-567.232,-212.563
0,488.471,-1104.93,2668.88
1,-1249.07,-534.48,-215.174
0,459.453,-1115.1,2685.44
1,-1261.92,-501.387,-217.795
0,430.178,-1124.55,2702.13
1,-1273.94,-467.972,-220.426
0,400.666,-1133.27,2718.95
1,-1285.13,-434.258,-223.068
0,370.935,-1141.25,2735.9
1,-1295.47,-400.264,-225.721
0,341.002,-1148.48,2752.98
1,-1304.97,-366.011,-228.385
0,310.888,-1154.97,2770.19
1,-1313.62,-331.521,-231.059
0,280.61,-1160.71,2787.53
1,-1321.4,-296.816,-233.745
0,250.187,-1165.7,2805.01
1,-1328.31,-261.916,-236.442
0,219.639,-1169.92,2822.63
1,-1334.36,-226.844,-239.15
0,188.984,-1173.38,2840.38
1,-1339.53,-191.621,-241.87
0,158.24,-1176.07,2858.27
1,-1343.82,-156.269,-244.601
0,127.429,-1178,2876.29
1,-1347.22,-120.81,-247.344
0,96.5675,-1179.16,2894.46
1,-1349.74,-85.2658,-250.099
0,65.6762,-1179.55,2912.76
1,-1351.38,-49.6592,-252.866
0,34.774,-1179.16,2931.2
1,-1352.13,-14.0122,-255.646
0,3.88021,-1178.01,2949.78
1,-1351.98,21.6531,-258.437
0,-26.9859,-1176.08,2968.51
1,-1350.95,57.3144,-261.241
0,-57.8051,-1173.38,2987.38
1,-1349.02,92.9495,-264.058
0,-88.558,-1169.92,3006.39
1,-1346.21,128.536,-266.887
0,-119.225,-1165.68,3025.54
1,-1342.51,164.052,-269.729
0,-149.788,-1160.68,3044.85
1,-1337.92,199.475,-272.584
0,-180.227,-1154.92,3064.29
1,-1332.45,234.783,-275.452
0,-210.523,-1148.4,3083.89
1,-1326.1,269.953,-278.334
0,-240.657,-1141.12,3103.63
1,-1318.87,304.965,-281.229
0,-270.611,-1133.09,3123.53
1,-1310.76,339.795,-284.137
0,-300.364,-1124.31,3143.57
1,-1301.79,374.422,-287.059
0,-329.9,-1114.79,3163.76
1,-1291.95,408.824,-289.995
0,-359.198,-1104.54,3184.11
1,-1281.26,442.98,-292.944
0,-388.241,-1093.55,3204.61
1,-1269.71,476.868,-295.908
0,-417.011,-1081.83,3225.26
1,-1257.32,510.467,-298.886
0,-445.489,-1069.4,3246.07
1,-1244.09,543.755,-301.879
0,-473.657,-1056.26,3267.04
1,-1230.02,576.713,-304.886
0,-501.498,-1042.42,3288.16
1,-1215.14,609.318,-307.907
0,-528.994,-1027.88,3309.44
1,-1199.44,641.551,-310.944
0,-556.128,-1012.65,3330.88
1,-1182.94,673.391,-313.995
0,-582.882,-996.752,3352.48
1,-1165.65,704.817,-317.062
0,-609.239,-980.183,3374.24
1,-1147.57,735.811,-320.143
0,-635.184,-962.956,3396.17
1,-1128.72,766.353,-323.241
0,-660.699,-945.083,3418.25
1,-1109.1,796.423,-326.353
0,-685.768,-926.573,3440.5
1,-1088.74,826.002,-329.482
0,-710.376,-907.438,3462.92
1,-1067.64,855.071,-332.626
0,-734.507,-887.69,3485.5
1,-1045.81,883.613,-335.786
0,-758.145,-867.34,3508.25
1,-1023.28,911.608,-338.962
0,-781.275,-846.4,3531.17
1,-1000.04,939.04,-342.155
0,-803.883,-824.884,3554.26
1,-976.124,965.89,-345.364
0,-825.955,-802.805,3577.52
1,-951.536,992.142,-348.59
0,-847.475,-780.175,3600.95
1,-926.294,1017.78,-351.832
0,-868.431,-757.01,3624.56
1,-900.414,1042.78,-355.092
0,-888.809,-733.322,3648.34
1,-873.91,1067.14,-358.368
0,-908.596,-709.126,3672.3
1,-846.8,1090.84,-361.662
0,-927.78,-684.438,3696.43
1,-819.1,1113.85,-364.973
0,-946.347,-659.272,3720.74
1,-790.827,1136.18,-368.302
0,-964.286,-633.643,3745.23
1,-761.997,1157.79,-371.648
0,-981.586,-607.568,3769.89
1,-732.63,1178.69,-375.013
0,-998.236,-581.062,3794.74
1,-702.742,1198.85,-378.395
0,-1014.22,-554.142,3819.78
1,-672.353,1218.26,-381.795
0,-1029.54,-526.824,3844.99
1,-641.481,1236.92,-385.214
0,-1044.17,-499.125,3870.39
1,-610.144,1254.8,-388.652
0,-1058.12,-471.062,3895.98
1,-578.363,1271.89,-392.108
0,-1071.36,-442.653,3921.76
1,-546.157,1288.2,-395.583
0,-1083.89,-413.914,3947.72
1,-513.546,1303.69,-399.077
0,-1095.71,-384.864,3973.87
1,-480.55,1318.38,-402.59
0,-1106.8,-355.521,4000.22
1,-447.189,1332.23,-406.122
0,-1117.16,-325.902,4026.75
1,-413.484,1345.25,-409.674
0,-1126.78,-296.027,4053.48
1,-379.457,1357.43,-413.246
0,-1135.66,-265.913,4080.41
1,-345.127,1368.76,-416.838
0,-1143.78,-235.579,4107.53
1,-310.516,1379.23,-420.449
0,-1151.15,-205.044,4134.85
1,-275.646,1388.84,-424.081
0,-1157.75,-174.327,4162.37
1,-240.539,1397.57,-427.734
0,-1163.59,-143.447,4190.09
1,-205.216,1405.42,-431.407
0,-1168.66,-112.423,4218.01
1,-169.699,1412.4,-435.1
0,-1172.95,-81.2748,4246.13
1,-134.01,1418.48,-438.815
0,-1176.47,-50.0212,4274.45
1,-98.1721,1423.67,-442.55
0,-1179.21,-18.6818,4302.99
1,-62.2067,1427.96,-446.307
0,-1181.16,12.7238,4331.73
1,-26.1365,1431.36,-450.086
0,-1182.33,44.1761,4360.67
1,10.016,1433.85,-453.886
0,-1182.72,75.6555,4389.83
1,46.2282,1435.44,-457.708
0,-1182.32,107.142,4419.2
1,82.4775,1436.13,-461.551
0,-1181.13,138.617,4448.78
1,118.741,1435.91,-465.418
0,-1179.16,170.06,4478.58
1,154.997,1434.78,-469.306
0,-1176.41,201.451,4508.59
1,191.222,1432.75,-473.217
0,-1172.87,232.772,4538.81
1,227.393,1429.81,-477.151
0,-1168.55,264.001,4569.26
1,263.488,1425.96,-481.108
0,-1163.45,295.121,4599.92
1,299.484,1421.22,-485.088
0,-1157.58,326.11,4630.81
1,335.359,1415.57,-489.091
0,-1150.93,356.951,4661.92
1,371.091,1409.03,-493.117
0,-1143.51,387.623,4693.25
1,406.655,1401.59,-497.168
0,-1135.33,418.108,4724.81
1,442.032,1393.27,-501.242
0,-1126.39,448.385,4756.6
1,477.197,1384.06,-505.341
0,-1116.69,478.437,4788.61
1,512.13,1373.97,-509.464
0,-1106.24,508.244,4820.86
1,546.807,1363.01,-513.611
0,-1095.05,537.788,4853.34
1,581.208,1351.18,-517.783
0,-1083.13,567.05,4886.05
1,615.311,1338.49,-521.98
0,-1070.47,596.011,4918.99
1,649.093,1324.95,-526.202
0,-1057.09,624.653,4952.17
1,682.535,1310.57,-530.449
0,-1043,652.959,4985.59
1,715.614,1295.35,-534.722
0,-1028.2,680.91,5019.25
1,748.31,1279.3,-539.02
0,-1012.7,708.489,5053.16
1,780.602,1262.44,-543.345
0,-996.518,735.678,5087.3
1,812.47,1244.77,-547.695
0,-979.657,762.461,5121.69
1,843.893,1226.3,-552.072
0,-962.128,788.819,5156.33
1,874.852,1207.05,-556.476
0,-943.942,814.737,5191.21
1,905.327,1187.03,-560.906
0,-925.11,840.198,5226.34
1,935.298,1166.24,-565.363
0,-905.643,865.187,5261.73
1,964.748,1144.7,-569.848
0,-885.554,889.686,5297.37
1,993.656,1122.43,-574.359
0,-864.855,913.68,5333.26
1,1022,1099.44,-578.899
0,-843.558,937.155,5369.41
1,1049.78,1075.74,-583.466
0,-821.675,960.096,5405.81
1,1076.95,1051.34,-588.061
0,-799.222,982.487,5442.48
1,1103.52,1026.27,-592.685
0,-776.211,1004.31,5479.41
1,1129.45,1000.53,-597.337
0,-752.656,1025.56,5516.6
1,1154.74,974.148,-602.018
0,-728.572,1046.22,5554.06
1,1179.36,947.131,-606.728
0,-703.974,1066.28,5591.79
1,1203.31,919.5,-611.467
0,-678.877,1085.71,5629.78
1,1226.57,891.27,-616.235
0,-653.296,1104.52,5668.04
1,1249.11,862.46,-621.033
0,-627.247,1122.69,5706.58
1,1270.93,833.087,-625.861
0,-600.746,1140.2,5745.39
1,1292.02,803.17,-630.719
0,-573.809,1157.05,5784.48
1,1312.36,772.726,-635.608
0,-546.454,1173.22,5823.85
1,1331.93,741.774,-640.526
0,-518.696,1188.71,5863.49
1,1350.72,710.334,-645.476
0,-490.554,1203.5,5903.42
1,1368.73,678.424,-650.457
0,-462.044,1217.58,5943.63
1,1385.94,646.066,-655.469
0,-433.184,1230.95,5984.13
1,1402.33,613.278,-660.512
0,-403.992,1243.6,6024.92
1,1417.91,580.081,-665.588
0,-374.487,1255.51,6065.99
1,1432.65,546.495,-670.695
0,-344.686,1266.69,6107.36
1,1446.55,512.542,-675.835
0,-314.608,1277.11,6149.02
1,1459.59,478.243,-681.007
0,-284.272,1286.79,6190.98
1,1471.78,443.618,-686.212
0,-253.696,1295.7,6233.23
1,1483.1,408.689,-691.45
0,-222.9,1303.85,6275.79
1,1493.55,373.479,-696.721
0,-191.903,1311.22,6318.64
1,1503.11,338.008,-702.025
0,-160.723,1317.82,6361.8
1,1511.78,302.299,-707.364
0,-129.381,1323.64,6405.27
1,1519.56,266.374,-712.736
0,-97.8966,1328.67,6449.04
1,1526.43,230.256,-718.143
0,-66.2884,1332.91,6493.13
1,1532.41,193.967,-723.584
0,-34.5767,1336.36,6537.52
1,1537.47,157.53,-729.06
0,-2.78112,1339.01,6582.24
1,1541.62,120.968,-734.571
0,29.0783,1340.87,6627.26
1,1544.85,84.3021,-740.118
0,60.9818,1341.93,6672.61
1,1547.16,47.557,-745.7
0,92.9092,1342.19,6718.28
1,1548.56,10.755,-751.317
0,124.841,1341.65,6764.27
1,1549.03,-26.0807,-756.971
0,156.756,1340.31,6810.58
1,1548.57,-62.9271,-762.662
0,188.636,1338.17,6857.23
1,1547.2,-99.7611,-768.389
0,220.459,1335.23,6904.2
1,1544.9,-136.56,-774.153
0,252.207,1331.5,6951.5
1,1541.68,-173.3,-779.954
0,283.858,1326.96,6999.14
1,1537.54,-209.958,-785.793
0,315.394,1321.64,7047.12
1,1532.48,-246.512,-791.67
0,346.794,1315.53,7095.43
1,1526.5,-282.938,-797.584
0,378.039,1308.62,7144.09
1,1519.61,-319.213,-803.537
0,409.109,1300.94,7193.09
1,1511.82,-355.316,-809.529
0,439.984,1292.48,7242.44
1,1503.11,-391.222,-815.56
0,470.645,1283.24,7292.13
1,1493.51,-426.91,-821.629
0,501.073,1273.24,7342.17
1,1483.02,-462.356,-827.739
0,531.248,1262.47,7392.57
1,1471.63,-497.539,-833.888
0,561.151,1250.95,7443.33
1,1459.37,-532.436,-840.077
0,590.764,1238.68,7494.44
1,1446.23,-567.026,-846.307
0,620.068,1225.66,7545.91
1,1432.23,-601.286,-852.577
0,649.043,1211.91,7597.74
1,1417.36,-635.194,-858.889
0,677.673,1197.44,7649.94
1,1401.65,-668.73,-865.241
0,705.938,1182.25,7702.51
1,1385.09,-701.872,-871.635
0,733.82,1166.35,7755.45
1,1367.71,-734.599,-878.072
0,761.303,1149.75,7808.76
1,1349.51,-766.891,-884.55
0,788.369,1132.47,7862.45
1,1330.49,-798.726,-891.071
0,814.999,1114.5,7916.51
1,1310.68,-830.084,-897.635
0,841.179,1095.87,7970.96
1,1290.09,-860.947,-904.242
0,866.89,1076.58,8025.79
1,1268.72,-891.293,-910.892
0,892.116,1056.65,8081.01
1,1246.59,-921.104,-917.587
0,916.841,1036.09,8136.61
1,1223.71,-950.361,-924.325
0,941.05,1014.91,8192.6
1,1200.1,-979.045,-931.108
0,964.727,993.117,8248.99
1,1175.78,-1007.14,-937.936
0,987.857,970.734,8305.78
1,1150.74,-1034.62,-944.808
0,1010.42,947.772,8362.97
1,1125.02,-1061.48,-951.727
0,1032.42,924.244,8420.55
1,1098.63,-1087.69,-958.691
0,1053.82,900.165,8478.55
1,1071.58,-1113.24,-965.701
0,1074.61,875.55,8536.95
1,1043.89,-1138.12,-972.757
0,1094.79,850.413,8595.76
1,1015.58,-1162.3,-979.861
0,1114.34,824.771,8654.98
1,986.659,-1185.77,-987.011
0,1133.24,798.64,8714.62
1,957.151,-1208.52,-994.209
0,1151.49,772.034,8774.68
1,927.074,-1230.53,-1001.45
0,1169.07,744.971,8835.16
1,896.445,-1251.78,-1008.75
0,1185.98,717.467,8896.07
1,865.283,-1272.28,-1016.09
0,1202.19,689.539,8957.41
1,833.608,-1291.99,-1023.48
0,1217.7,661.206,9019.17
1,801.439,-1310.9,-1030.92
0,1232.5,632.483,9081.37
1,768.795,-1329.02,-1038.41
0,1246.58,603.389,9144.01
1,735.697,-1346.31,-1045.95
0,1259.93,573.942,9207.08
1,702.166,-1362.78,-1053.54
0,1272.55,544.16,9270.6
1,668.222,-1378.41,-1061.18
0,1284.41,514.061,9334.56
1,633.886,-1393.18,-1068.88
0,1295.52,483.665,9398.98
1,599.18,-1407.1,-1076.62
0,1305.87,452.99,9463.84
1,564.124,-1420.16,-1084.42
0,1315.45,422.055,9529.16
1,528.741,-1432.33,-1092.26
0,1324.26,390.88,9594.94
1,493.053,-1443.62,-1100.16
0,1332.28,359.484,9661.18
1,457.081,-1454.01,-1108.12
0,1339.52,327.886,9727.89
1,420.848,-1463.51,-1116.12
0,1345.96,296.106,9795.06
1,384.377,-1472.1,-1124.18
0,1351.61,264.164,9862.7
1,347.69,-1479.78,-1132.3
0,1356.46,232.08,9930.82
1,310.81,-1486.53,-1140.46
0,1360.5,199.874,9999.42
1,273.76,-1492.37,-1148.69
0,1363.73,167.566,10068.5
1,236.563,-1497.28,-1156.97
0,1366.16,135.176,10138.1
1,199.242,-1501.26,-1165.3
0,1367.77,102.724,10208.1
1,161.821,-1504.31,-1173.69
0,1368.58,70.2312,10278.6
1,124.322,-1506.41,-1182.14
0,1368.56,37.7173,10349.7
1,86.7702,-1507.59,-1190.64
0,1367.73,5.20283,10421.2
1,49.1878,-1507.82,-1199.2
0,1366.09,-27.2918,10493.2
1,11.5987,-1507.11,-1207.82
0,1363.63,-59.7464,10565.8
1,-25.9736,-1505.46,-1216.49
0,1360.36,-92.1404,10638.8
1,-63.5057,-1502.88,-1225.23
0,1356.28,-124.453,10712.4
1,-100.974,-1499.35,-1234.02
0,1351.39,-156.665,10786.5
1,-138.355,-1494.89,-1242.88
0,1345.69,-188.756,10861
1,-175.626,-1489.49,-1251.79
0,1339.19,-220.705,10936.2
1,-212.762,-1483.16,-1260.76
0,1331.88,-252.492,11011.8
1,-249.741,-1475.9,-1269.8
0,1323.78,-284.098,11088
1,-286.54,-1467.71,-1278.89
0,1314.89,-315.502,11164.7
1,-323.134,-1458.61,-1288.05
0,1305.21,-346.685,11241.9
1,-359.503,-1448.59,-1297.27
0,1294.75,-377.626,11319.7
1,-395.621,-1437.66,-1306.55
0,1283.52,-408.307,11398
1,-431.467,-1425.83,-1315.89
0,1271.52,-438.708,11476.9
1,-467.019,-1413.1,-1325.3
0,1258.75,-468.81,11556.3
1,-502.253,-1399.49,-1334.77
0,1245.23,-498.593,11636.3
