Particle,vx,vy,vz
0,227.756,1781.8,2.28442e+32
1,2062.13,-205.215,-2.68097e+31
0,265.349,1768.52,2.29777e+32
1,2048.19,-249.039,-2.69664e+31
0,302.523,1754.38,2.31118e+32
1,2033.23,-292.412,-2.71238e+31
0,339.257,1739.38,2.32466e+32
1,2017.27,-335.308,-2.7282e+31
0,375.533,1723.55,2.33821e+32
1,2000.32,-377.707,-2.7441e+31
0,411.332,1706.88,2.35182e+32
1,1982.4,-419.585,-2.76007e+31
0,446.634,1689.4,2.3655e+32
1,1963.53,-460.92,-2.77612e+31
0,481.422,1671.12,2.37924e+32
1,1943.71,-501.692,-2.79225e+31
0,515.678,1652.06,2.39305e+32
1,1922.97,-541.878,-2.80846e+31
0,549.385,1632.23,2.40692e+32
1,1901.33,-581.459,-2.82474e+31
0,582.525,1611.64,2.42086e+32
1,1878.79,-620.414,-2.8411e+31
0,615.082,1590.31,2.43487e+32
1,1855.38,-658.724,-2.85754e+31
0,647.04,1568.26,2.44895e+32
1,1831.11,-696.369,-2.87406e+31
0,678.383,1545.5,2.46309e+32
1,1806,-733.331,-2.89066e+31
0,709.096,1522.05,2.47731e+32
1,1780.08,-769.591,-2.90734e+31
0,739.163,1497.92,2.49159e+32
1,1753.35,-805.131,-2.9241e+31
0,768.571,1473.14,2.50594e+32
1,1725.84,-839.935,-2.94095e+31
0,797.306,1447.72,2.52036e+32
1,1697.58,-873.986,-2.95787e+31
0,825.353,1421.68,2.53485e+32
1,1668.57,-907.267,-2.97487e+31
0,852.701,1395.04,2.54941e+32
1,1638.84,-939.762,-2.99196e+31
0,879.336,1367.81,2.56403e+32
1,1608.42,-971.457,-3.00913e+31
0,905.246,1340.02,2.57873e+32
1,1577.31,-1002.34,-3.02638e+31
0,930.419,1311.68,2.5935e+32
1,1545.55,-1032.39,-3.04371e+31
0,954.845,1282.82,2.60835e+32
1,1513.15,-1061.6,-3.06113e+31
0,978.514,1253.44,2.62326e+32
1,1480.14,-1089.95,-3.07863e+31
0,1001.41,1223.58,2.63824e+32
1,1446.53,-1117.43,-3.09622e+31
0,1023.54,1193.24,2.6533e+32
1,1412.36,-1144.04,-3.11389e+31
0,1044.87,1162.46,2.66843e+32
1,1377.65,-1169.75,-3.13165e+31
0,1065.41,1131.25,2.68363e+32
1,1342.4,-1194.56,-3.14949e+31
0,1085.14,1099.63,2.69891e+32
1,1306.66,-1218.46,-3.16742e+31
0,1104.07,1067.62,2.71426e+32
1,1270.44,-1241.44,-3.18543e+31
0,1122.17,1035.25,2.72968e+32
1,1233.77,-1263.48,-3.20353e+31
0,1139.45,1002.53,2.74518e+32
1,1196.67,-1284.59,-3.22172e+31
0,1155.9,969.477,2.76075e+32
1,1159.16,-1304.75,-3.24e+31
0,1171.51,936.123,2.7764e+32
1,1121.27,-1323.96,-3.25836e+31
0,1186.28,902.483,2.79213e+32
1,1083.02,-1342.2,-3.27681e+31
0,1200.2,868.58,2.80792e+32
1,1044.43,-1359.48,-3.29535e+31
0,1213.27,834.434,2.8238e+32
1,1005.54,-1375.79,-3.31398e+31
0,1225.49,800.066,2.83975e+32
1,966.353,-1391.12,-3.33271e+31
0,1236.85,765.498,2.85578e+32
1,926.908,-1405.47,-3.35152e+31
0,1247.35,730.75,2.87189e+32
1,887.225,-1418.84,-3.37042e+31
0,1256.99,695.844,2.88807e+32
1,847.328,-1431.21,-3.38941e+31
0,1265.77,660.8,2.90433e+32
1,807.242,-1442.6,-3.4085e+31
0,1273.68,625.64,2.92067e+32
1,766.99,-1452.99,-3.42767e+31
0,1280.72,590.385,2.93709e+32
1,726.597,-1462.4,-3.44694e+31
0,1286.9,555.056,2.95359e+32
1,686.088,-1470.8,-3.4663e+31
0,1292.22,519.674,2.97017e+32
1,645.486,-1478.21,-3.48576e+31
0,1296.68,484.259,2.98682e+32
1,604.815,-1484.63,-3.50531e+31
0,1300.27,448.833,3.00356e+32
1,564.099,-1490.06,-3.52495e+31
0,1303,413.416,3.02038e+32
1,523.363,-1494.49,-3.54469e+31
0,1304.88,378.028,3.03728e+32
1,482.631,-1497.94,-3.56452e+31
0,1305.9,342.691,3.05426e+32
1,441.925,-1500.4,-3.58445e+31
0,1306.08,307.424,3.07132e+32
1,401.27,-1501.87,-3.60448e+31
0,1305.4,272.248,3.08847e+32
1,360.688,-1502.37,-3.6246e+31
0,1303.89,237.183,3.1057e+32
1,320.204,-1501.89,-3.64481e+31
0,1301.53,202.248,3.12301e+32
1,279.84,-1500.45,-3.66513e+31
0,1298.35,167.464,3.1404e+32
1,239.62,-1498.03,-3.68554e+31
0,1294.34,132.85,3.15788e+32
1,199.566,-1494.66,-3.70606e+31
0,1289.51,98.4251,3.17544e+32
1,159.7,-1490.34,-3.72667e+31
0,1283.87,64.2087,3.19309e+32
1,120.045,-1485.07,-3.74738e+31
0,1277.42,30.2197,3.21082e+32
1,80.6235,-1478.87,-3.76819e+31
0,1270.17,-3.52315,3.22864e+32
1,41.4565,-1471.74,-3.7891e+31
0,1262.14,-37.0014,3.24654e+32
1,2.56608,-1463.69,-3.81011e+31
0,1253.32,-70.1969,3.26453e+32
1,-36.0266,-1454.72,-3.83122e+31
0,1243.73,-103.092,3.28261e+32
1,-74.3004,-1444.86,-3.85244e+31
0,1233.38,-135.668,3.30077e+32
1,-112.235,-1434.1,-3.87375e+31
0,1222.27,-167.908,3.31902e+32
1,-149.809,-1422.46,-3.89517e+31
0,1210.42,-199.795,3.33736e+32
1,-187.003,-1409.95,-3.9167e+31
0,1197.84,-231.312,3.35579e+32
1,-223.796,-1396.59,-3.93832e+31
0,1184.53,-262.442,3.37431e+32
1,-260.171,-1382.37,-3.96005e+31
0,1170.52,-293.17,3.39291e+32
1,-296.106,-1367.32,-3.98189e+31
0,1155.8,-323.478,3.41161e+32
1,-331.584,-1351.45,-4.00383e+31
0,1140.4,-353.352,3.43039e+32
1,-366.585,-1334.78,-4.02588e+31
0,1124.32,-382.776,3.44927e+32
1,-401.093,-1317.31,-4.04803e+31
0,1107.58,-411.736,3.46824e+32
1,-435.088,-1299.05,-4.07029e+31
0,1090.19,-440.216,3.4873e+32
1,-468.554,-1280.03,-4.09266e+31
0,1072.16,-468.202,3.50645e+32
1,-501.474,-1260.26,-4.11513e+31
0,1053.51,-495.68,3.52569e+32
1,-533.831,-1239.75,-4.13771e+31
0,1034.25,-522.637,3.54502e+32
1,-565.61,-1218.53,-4.16041e+31
0,1014.4,-549.06,3.56445e+32
1,-596.793,-1196.59,-4.18321e+31
0,993.967,-574.936,3.58398e+32
1,-627.366,-1173.97,-4.20612e+31
0,972.967,-600.251,3.60359e+32
1,-657.315,-1150.68,-4.22914e+31
0,951.417,-624.995,3.6233e+32
1,-686.624,-1126.72,-4.25227e+31
0,929.331,-649.155,3.64311e+32
1,-715.28,-1102.14,-4.27552e+31
0,906.726,-672.721,3.66301e+32
1,-743.269,-1076.92,-4.29888e+31
0,883.615,-695.681,3.68301e+32
1,-770.578,-1051.11,-4.32234e+31
0,860.016,-718.024,3.7031e+32
1,-797.194,-1024.71,-4.34593e+31
0,835.945,-739.742,3.72329e+32
1,-823.105,-997.744,-4.36962e+31
0,811.418,-760.824,3.74358e+32
1,-848.3,-970.228,-4.39343e+31
0,786.45,-781.261,3.76397e+32
1,-872.767,-942.181,-4.41736e+31
0,761.06,-801.043,3.78445e+32
1,-896.496,-913.623,-4.4414e+31
0,735.264,-820.164,3.80504e+32
1,-919.475,-884.573,-4.46555e+31
0,709.078,-838.614,3.82572e+32
1,-941.696,-855.05,-4.48983e+31
0,682.52,-856.387,3.8465e+32
1,-963.149,-825.073,-4.51422e+31
0,655.607,-873.475,3.86738e+32
1,-983.825,-794.662,-4.53872e+31
0,628.357,-889.871,3.88837e+32
1,-1003.72,-763.837,-4.56335e+31
0,600.787,-905.569,3.90945e+32
1,-1022.81,-732.618,-4.58809e+31
0,572.914,-920.564,3.93064e+32
1,-1041.11,-701.025,-4.61296e+31
0,544.757,-934.85,3.95192e+32
1,-1058.6,-669.077,-4.63794e+31
0,516.333,-948.422,3.97331e+32
1,-1075.28,-636.797,-4.66304e+31
0,487.659,-961.276,3.99481e+32
1,-1091.14,-604.203,-4.68827e+31
0,458.755,-973.407,4.0164e+32
1,-1106.17,-571.316,-4.71361e+31
0,429.637,-984.813,4.03811e+32
1,-1120.38,-538.157,-4.73908e+31
0,400.324,-995.489,4.05991e+32
1,-1133.75,-504.747,-4.76467e+31
0,370.834,-1005.43,4.08182e+32
1,-1146.28,-471.105,-4.79039e+31
0,341.184,-1014.64,4.10384e+32
1,-1157.97,-437.254,-4.81623e+31
0,311.394,-1023.12,4.12596e+32
1,-1168.82,-403.213,-4.84219e+31
0,281.48,-1030.85,4.14819e+32
1,-1178.83,-369.004,-4.86828e+31
0,251.461,-1037.85,4.17053e+32
1,-1187.98,-334.646,-4.89449e+31
0,221.355,-1044.11,4.19297e+32
1,-1196.29,-300.162,-4.92083e+31
0,191.18,-1049.63,4.21553e+32
1,-1203.75,-265.57,-4.9473e+31
0,160.954,-1054.42,4.23819e+32
1,-1210.36,-230.894,-4.9739e+31
0,130.694,-1058.46,4.26096e+32
1,-1216.11,-196.151,-5.00062e+31
0,100.419,-1061.77,4.28384e+32
1,-1221.02,-161.365,-5.02747e+31
0,70.1456,-1064.34,4.30683e+32
1,-1225.09,-126.554,-5.05445e+31
0,39.8921,-1066.18,4.32993e+32
1,-1228.3,-91.7388,-5.08156e+31
0,9.67589,-1067.29,4.35314e+32
1,-1230.67,-56.9406,-5.10881e+31
0,-20.4856,-1067.67,4.37647e+32
1,-1232.21,-22.179,-5.13618e+31
0,-50.5751,-1067.32,4.39991e+32
1,-1232.9,12.5257,-5.16369e+31
0,-80.5754,-1066.26,4.42346e+32
1,-1232.76,47.1537,-5.19133e+31
0,-110.469,-1064.48,4.44712e+32
1,-1231.79,81.6852,-5.2191e+31
0,-140.24,-1061.98,4.4709e+32
1,-1229.99,116.1,-5.247e+31
0,-169.871,-1058.78,4.49479e+32
1,-1227.37,150.38,-5.27504e+31
0,-199.346,-1054.88,4.5188e+32
1,-1223.94,184.505,-5.30322e+31
0,-228.647,-1050.28,4.54292e+32
1,-1219.7,218.455,-5.33153e+31
0,-257.76,-1044.99,4.56716e+32
