Particle,x,y,z
0,719.082,-1257.7,5639.22
1,-705.118,-902.623,-750.956
0,707.644,-1260.06,5680.3
1,-708.223,-888.831,-755.161
0,696.133,-1262.11,5721.65
1,-710.979,-874.943,-759.401
0,684.555,-1263.85,5763.27
1,-713.385,-860.967,-763.679
0,672.919,-1265.29,5805.17
1,-715.437,-846.913,-767.993
0,661.233,-1266.41,5847.35
1,-717.134,-832.789,-772.344
0,649.503,-1267.22,5889.81
1,-718.474,-818.604,-776.732
0,637.738,-1267.72,5932.56
1,-719.456,-804.367,-781.157
0,625.946,-1267.91,5975.59
1,-720.078,-790.088,-785.62
0,614.135,-1267.78,6018.9
1,-720.339,-775.774,-790.121
0,602.311,-1267.34,6062.51
1,-720.239,-761.436,-794.66
0,590.484,-1266.58,6106.41
1,-719.777,-747.081,-799.237
0,578.661,-1265.51,6150.6
1,-718.952,-732.72,-803.853
0,566.85,-1264.13,6195.09
1,-717.764,-718.361,-808.507
0,555.058,-1262.43,6239.87
1,-716.214,-704.013,-813.2
0,543.294,-1260.41,6284.96
1,-714.302,-689.686,-817.932
0,531.565,-1258.08,6330.35
1,-712.028,-675.387,-822.704
0,519.88,-1255.44,6376.04
1,-709.393,-661.128,-827.515
0,508.245,-1252.49,6422.04
1,-706.399,-646.916,-832.366
0,496.669,-1249.23,6468.35
1,-703.045,-632.76,-837.257
0,485.16,-1245.66,6514.97
1,-699.334,-618.67,-842.188
0,473.725,-1241.79,6561.9
1,-695.268,-604.654,-847.159
0,462.372,-1237.61,6609.15
1,-690.847,-590.721,-852.172
0,451.108,-1233.12,6656.71
1,-686.075,-576.881,-857.225
0,439.941,-1228.34,6704.6
1,-680.954,-563.141,-862.32
0,428.878,-1223.25,6752.81
1,-675.486,-549.511,-867.456
0,417.928,-1217.88,6801.34
1,-669.674,-535.999,-872.634
0,407.097,-1212.21,6850.2
1,-663.521,-522.614,-877.854
0,396.392,-1206.25,6899.39
1,-657.03,-509.365,-883.116
0,385.821,-1200,6948.91
1,-650.204,-496.259,-888.42
0,375.391,-1193.47,6998.77
1,-643.048,-483.305,-893.767
0,365.109,-1186.66,7048.96
1,-635.565,-470.512,-899.158
0,354.982,-1179.58,7099.49
1,-627.759,-457.888,-904.591
0,345.017,-1172.22,7150.37
1,-619.634,-445.44,-910.068
0,335.22,-1164.59,7201.58
1,-611.196,-433.177,-915.589
0,325.599,-1156.71,7253.15
1,-602.447,-421.107,-921.153
0,316.16,-1148.56,7305.06
1,-593.394,-409.236,-926.762
0,306.909,-1140.16,7357.32
1,-584.041,-397.574,-932.416
0,297.852,-1131.5,7409.94
1,-574.393,-386.127,-938.115
0,288.997,-1122.61,7462.91
1,-564.457,-374.903,-943.858
0,280.348,-1113.47,7516.25
1,-554.237,-363.908,-949.647
0,271.912,-1104.1,7569.94
1,-543.739,-353.151,-955.482
0,263.696,-1094.5,7624
1,-532.969,-342.637,-961.362
0,255.703,-1084.67,7678.42
1,-521.934,-332.375,-967.289
0,247.941,-1074.63,7733.22
