Particle,x,y,z
1,3416.38,-2602.57,-3.36143e+31
0,2388.32,2932.03,2.87804e+32
1,3395.64,-2642.75,-3.37764e+31
0,2422.03,2912.19,2.89191e+32
1,3373.99,-2682.33,-3.39392e+31
0,2455.17,2891.6,2.90586e+32
1,3351.45,-2721.29,-3.41029e+31
0,2487.73,2870.27,2.91987e+32
1,3328.04,-2759.6,-3.42673e+31
0,2519.69,2848.22,2.93394e+32
1,3303.77,-2797.24,-3.44325e+31
0,2551.03,2825.46,2.94809e+32
1,3278.67,-2834.2,-3.45985e+31
0,2581.74,2802.01,2.9623e+32
1,3252.74,-2870.46,-3.47653e+31
0,2611.81,2777.89,2.97658e+32
1,3226.02,-2906.01,-3.49329e+31
0,2641.22,2753.11,2.99093e+32
1,3198.51,-2940.81,-3.51013e+31
0,2669.95,2727.69,3.00535e+32
1,3170.24,-2974.86,-3.52705e+31
0,2698,2701.65,3.01984e+32
1,3141.24,-3008.14,-3.54406e+31
0,2725.35,2675.01,3.0344e+32
1,3111.51,-3040.64,-3.56114e+31
0,2751.98,2647.78,3.04903e+32
1,3081.08,-3072.33,-3.57831e+31
0,2777.89,2619.99,3.06373e+32
1,3049.98,-3103.21,-3.59556e+31
0,2803.06,2591.65,3.0785e+32
1,3018.21,-3133.26,-3.61289e+31
0,2827.49,2562.78,3.09334e+32
1,2985.81,-3162.47,-3.63031e+31
0,2851.16,2533.41,3.10825e+32
1,2952.8,-3190.82,-3.64781e+31
0,2874.06,2503.54,3.12324e+32
1,2919.2,-3218.31,-3.6654e+31
0,2896.18,2473.21,3.13829e+32
1,2885.03,-3244.91,-3.68307e+31
0,2917.52,2442.43,3.15342e+32
1,2850.31,-3270.62,-3.70083e+31
0,2938.05,2411.22,3.16863e+32
1,2815.07,-3295.43,-3.71867e+31
0,2957.79,2379.6,3.1839e+32
1,2779.33,-3319.33,-3.7366e+31
0,2976.71,2347.59,3.19925e+32
1,2743.11,-3342.31,-3.75461e+31
0,2994.82,2315.21,3.21468e+32
1,2706.44,-3364.36,-3.77271e+31
0,3012.1,2282.49,3.23017e+32
1,2669.33,-3385.46,-3.7909e+31
0,3028.54,2249.44,3.24575e+32
1,2631.82,-3405.62,-3.80918e+31
0,3044.16,2216.09,3.26139e+32
1,2593.93,-3424.83,-3.82754e+31
0,3058.92,2182.45,3.27712e+32
1,2555.68,-3443.08,-3.84599e+31
0,3072.85,2148.54,3.29292e+32
1,2517.1,-3460.36,-3.86454e+31
0,3085.92,2114.4,3.30879e+32
1,2478.2,-3476.67,-3.88317e+31
0,3098.14,2080.03,3.32474e+32
1,2439.02,-3492,-3.90189e+31
0,3109.5,2045.46,3.34077e+32
1,2399.57,-3506.35,-3.9207e+31
0,3120,2010.71,3.35688e+32
1,2359.89,-3519.71,-3.9396e+31
0,3129.64,1975.81,3.37306e+32
1,2319.99,-3532.09,-3.95859e+31
0,3138.41,1940.77,3.38932e+32
1,2279.91,-3543.47,-3.97768e+31
0,3146.32,1905.61,3.40566e+32
1,2239.66,-3553.87,-3.99685e+31
0,3153.37,1870.35,3.42208e+32
1,2199.26,-3563.27,-4.01612e+31
0,3159.55,1835.02,3.43858e+32
1,2158.75,-3571.68,-4.03549e+31
0,3164.87,1799.64,3.45516e+32
1,2118.15,-3579.09,-4.05494e+31
0,3169.32,1764.22,3.47182e+32
1,2077.48,-3585.51,-4.07449e+31
0,3172.92,1728.8,3.48855e+32
1,2036.76,-3590.93,-4.09413e+31
0,3175.65,1693.38,3.50537e+32
1,1996.03,-3595.37,-4.11387e+31
0,3177.53,1657.99,3.52227e+32
1,1955.3,-3598.81,-4.1337e+31
0,3178.55,1622.66,3.53925e+32
1,1914.59,-3601.27,-4.15363e+31
0,3178.72,1587.39,3.55632e+32
1,1873.93,-3602.75,-4.17366e+31
0,3178.05,1552.21,3.57346e+32
1,1833.35,-3603.25,-4.19378e+31
0,3176.53,1517.15,3.59069e+32
1,1792.87,-3602.77,-4.214e+31
0,3174.18,1482.21,3.608e+32
1,1752.51,-3601.32,-4.23431e+31
0,3171,1447.43,3.62539e+32
1,1712.29,-3598.91,-4.25473e+31
0,3166.99,1412.82,3.64287e+32
1,1672.23,-3595.54,-4.27524e+31
0,3162.16,1378.39,3.66043e+32
1,1632.37,-3591.22,-4.29585e+31
0,3156.51,1344.17,3.67808e+32
1,1592.71,-3585.95,-4.31656e+31
0,3150.07,1310.18,3.69581e+32
1,1553.29,-3579.75,-4.33737e+31
0,3142.82,1276.44,3.71363e+32
1,1514.12,-3572.61,-4.35828e+31
0,3134.78,1242.96,3.73153e+32
1,1475.23,-3564.56,-4.37929e+31
0,3125.97,1209.77,3.74952e+32
1,1436.64,-3555.6,-4.40041e+31
0,3116.38,1176.87,3.7676e+32
1,1398.36,-3545.73,-4.42162e+31
0,3106.02,1144.3,3.78576e+32
1,1360.43,-3534.97,-4.44294e+31
0,3094.92,1112.06,3.80402e+32
1,1322.86,-3523.33,-4.46436e+31
0,3083.07,1080.17,3.82235e+32
1,1285.66,-3510.83,-4.48588e+31
0,3070.48,1048.65,3.84078e+32
1,1248.87,-3497.46,-4.50751e+31
0,3057.18,1017.52,3.8593e+32
1,1212.49,-3483.25,-4.52924e+31
0,3043.16,986.796,3.8779e+32
1,1176.56,-3468.2,-4.55107e+31
0,3028.45,956.487,3.8966e+32
1,1141.08,-3452.33,-4.57301e+31
0,3013.04,926.613,3.91539e+32
1,1106.08,-3435.65,-4.59506e+31
0,2996.96,897.189,3.93426e+32
1,1071.57,-3418.18,-4.61721e+31
0,2980.22,868.229,3.95323e+32
1,1037.58,-3399.93,-4.63947e+31
0,2962.83,839.749,3.97229e+32
1,1004.11,-3380.91,-4.66184e+31
0,2944.81,811.763,3.99144e+32
1,971.191,-3361.14,-4.68431e+31
0,2926.16,784.285,4.01068e+32
1,938.834,-3340.63,-4.7069e+31
0,2906.9,757.328,4.03002e+32
1,907.056,-3319.4,-4.72959e+31
0,2887.05,730.905,4.04945e+32
1,875.872,-3297.47,-4.75239e+31
0,2866.61,705.03,4.06897e+32
1,845.299,-3274.84,-4.7753e+31
0,2845.61,679.714,4.08858e+32
1,815.35,-3251.55,-4.79832e+31
0,2824.06,654.97,4.1083e+32
1,786.041,-3227.6,-4.82146e+31
0,2801.98,630.81,4.1281e+32
1,757.385,-3203.01,-4.8447e+31
0,2779.37,607.244,4.148e+32
1,729.396,-3177.8,-4.86806e+31
0,2756.26,584.285,4.168e+32
1,702.087,-3151.98,-4.89153e+31
0,2732.66,561.941,4.1881e+32
1,675.471,-3125.59,-4.91511e+31
0,2708.59,540.223,4.20829e+32
1,649.56,-3098.62,-4.9388e+31
0,2684.06,519.141,4.22857e+32
1,624.365,-3071.1,-4.96261e+31
0,2659.1,498.705,4.24896e+32
1,599.898,-3043.06,-4.98654e+31
0,2633.71,478.922,4.26944e+32
1,576.17,-3014.5,-5.01058e+31
0,2607.91,459.801,4.29003e+32
1,553.19,-2985.45,-5.03474e+31
0,2581.72,441.351,4.31071e+32
1,530.969,-2955.92,-5.05901e+31
0,2555.17,423.578,4.33149e+32
1,509.516,-2925.95,-5.0834e+31
0,2528.25,406.491,4.35237e+32
1,488.84,-2895.54,-5.10791e+31
0,2501,390.094,4.37336e+32
1,468.949,-2864.71,-5.13253e+31
0,2473.43,374.396,4.39444e+32
