Particle,x,y,z
1,1465.49,-717.75,-7.76178e+31
0,667.317,1337.78,6.64559e+32
1,1495.21,-716.211,-7.7992e+31
0,667.412,1363.52,6.67762e+32
1,1524.88,-715.388,-7.8368e+31
0,668.125,1389.18,6.70982e+32
1,1554.5,-715.28,-7.87458e+31
0,669.451,1414.76,6.74217e+32
1,1584.04,-715.883,-7.91254e+31
0,671.387,1440.24,6.77467e+32
1,1613.49,-717.193,-7.95069e+31
0,673.929,1465.6,6.80733e+32
1,1642.82,-719.205,-7.98902e+31
0,677.072,1490.84,6.84015e+32
1,1672.03,-721.916,-8.02753e+31
0,680.812,1515.93,6.87313e+32
1,1701.1,-725.32,-8.06623e+31
0,685.145,1540.86,6.90626e+32
1,1730,-729.412,-8.10512e+31
0,690.063,1565.63,6.93956e+32
1,1758.73,-734.186,-8.1442e+31
0,695.563,1590.21,6.97301e+32
1,1787.27,-739.637,-8.18346e+31
0,701.637,1614.59,7.00663e+32
1,1815.6,-745.757,-8.22291e+31
0,708.279,1638.76,7.04041e+32
1,1843.7,-752.541,-8.26256e+31
0,715.484,1662.7,7.07435e+32
1,1871.57,-759.98,-8.30239e+31
0,723.243,1686.41,7.10846e+32
1,1899.19,-768.068,-8.34242e+31
0,731.551,1709.87,7.14273e+32
1,1926.53,-776.797,-8.38264e+31
0,740.398,1733.06,7.17716e+32
1,1953.6,-786.158,-8.42305e+31
0,749.779,1755.98,7.21176e+32
1,1980.36,-796.143,-8.46366e+31
0,759.683,1778.61,7.24653e+32
1,2006.82,-806.744,-8.50446e+31
0,770.104,1800.95,7.28147e+32
1,2032.95,-817.95,-8.54546e+31
0,781.033,1822.98,7.31657e+32
1,2058.74,-829.753,-8.58666e+31
0,792.461,1844.68,7.35184e+32
1,2084.18,-842.143,-8.62805e+31
0,804.378,1866.05,7.38729e+32
1,2109.25,-855.11,-8.66965e+31
0,816.776,1887.08,7.4229e+32
1,2133.94,-868.643,-8.71145e+31
0,829.646,1907.75,7.45869e+32
1,2158.24,-882.732,-8.75345e+31
0,842.976,1928.06,7.49465e+32
1,2182.14,-897.366,-8.79565e+31
0,856.758,1948,7.53078e+32
1,2205.63,-912.534,-8.83805e+31
0,870.981,1967.55,7.56708e+32
1,2228.68,-928.225,-8.88066e+31
0,885.635,1986.71,7.60357e+32
1,2251.3,-944.427,-8.92347e+31
0,900.708,2005.46,7.64022e+32
1,2273.47,-961.127,-8.96649e+31
0,916.191,2023.8,7.67706e+32
1,2295.18,-978.314,-9.00972e+31
0,932.073,2041.72,7.71407e+32
1,2316.42,-995.976,-9.05316e+31
0,948.341,2059.22,7.75126e+32
1,2337.18,-1014.1,-9.0968e+31
0,964.986,2076.27,7.78863e+32
1,2357.44,-1032.67,-9.14066e+31
0,981.994,2092.88,7.82618e+32
1,2377.21,-1051.68,-9.18473e+31
0,999.356,2109.04,7.86391e+32
1,2396.47,-1071.11,-9.22901e+31
0,1017.06,2124.74,7.90182e+32
1,2415.21,-1090.96,-9.2735e+31
0,1035.09,2139.97,7.93991e+32
1,2433.42,-1111.19,-9.31821e+31
0,1053.44,2154.72,7.97819e+32
1,2451.1,-1131.81,-9.36313e+31
0,1072.09,2169,8.01665e+32
1,2468.24,-1152.8,-9.40827e+31
0,1091.03,2182.79,8.0553e+32
1,2484.82,-1174.15,-9.45363e+31
0,1110.26,2196.09,8.09414e+32
1,2500.85,-1195.83,-9.4992e+31
0,1129.75,2208.9,8.13316e+32
1,2516.32,-1217.84,-9.545e+31
0,1149.5,2221.2,8.17237e+32
1,2531.22,-1240.16,-9.59102e+31
0,1169.49,2232.99,8.21177e+32
